GATE                  SCOPE                             TIER   MEASURED                                                                                                                                                                        THRESHOLD                                                 STATUS
adjacency             single_room                       lidar  no adjacency ground truth                                                                                                                                                       all edges correct                                         SKIP  
drift_accountability  single_room                       lidar  pose graph built; no loop closure passed ICP verification; 0 closures, residual 0.0000 -> 0.0000, max correction 0.0 cm                                                         a stated method with an ablation; poses used as-is fails  PASS  
wall_lengths          single_scan_floor_only            lidar  no wall ground truth                                                                                                                                                            <= 2 cm                                                   SKIP  
ceiling_height        single_scan_floor_only            lidar  no ceiling ground truth                                                                                                                                                         <= 1.5 cm                                                 SKIP  
opening_widths        single_scan_floor_only            lidar  no opening ground truth                                                                                                                                                         <= 2 cm                                                   SKIP  
footprint             single_scan_floor_only            lidar  no footprint ground truth                                                                                                                                                       within +-5%                                               SKIP  
interval_coverage     single_scan_floor_only            lidar  no ground truth to check coverage against                                                                                                                                       >= 90%                                                    SKIP  
room_overlap          single_scan_floor_only            lidar  largest overlap 0.000 m2 (0.0% of smallest room), total 0.000 m2                                                                                                                no overlap above 2% of the smallest room                  PASS  
adjacency             single_scan_floor_only            lidar  no adjacency ground truth                                                                                                                                                       all edges correct                                         SKIP  
drift_accountability  single_scan_floor_only            lidar  keyframe pose graph over heading and horizontal position, ICP-verified loop closures, gauge-fixed least squares; 1 closures, residual 0.0319 -> 0.0041, max correction 9.7 cm   a stated method with an ablation; poses used as-is fails  PASS  
wall_lengths          single_scan_with_ceiling          lidar  no wall ground truth                                                                                                                                                            <= 2 cm                                                   SKIP  
ceiling_height        single_scan_with_ceiling          lidar  no ceiling ground truth                                                                                                                                                         <= 1.5 cm                                                 SKIP  
opening_widths        single_scan_with_ceiling          lidar  no opening ground truth                                                                                                                                                         <= 2 cm                                                   SKIP  
footprint             single_scan_with_ceiling          lidar  no footprint ground truth                                                                                                                                                       within +-5%                                               SKIP  
interval_coverage     single_scan_with_ceiling          lidar  no ground truth to check coverage against                                                                                                                                       >= 90%                                                    SKIP  
room_overlap          single_scan_with_ceiling          lidar  largest overlap 0.000 m2 (0.0% of smallest room), total 0.000 m2                                                                                                                no overlap above 2% of the smallest room                  PASS  
adjacency             single_scan_with_ceiling          lidar  no adjacency ground truth                                                                                                                                                       all edges correct                                         SKIP  
drift_accountability  single_scan_with_ceiling          lidar  keyframe pose graph over heading and horizontal position, ICP-verified loop closures, gauge-fixed least squares; 21 closures, residual 0.0963 -> 0.0698, max correction 7.1 cm  a stated method with an ablation; poses used as-is fails  PASS  
wall_lengths          synthetic_no_ceiling              lidar  4/4 within tolerance (100%), worst 0.6 cm                                                                                                                                       <= 2 cm on >= 85%                                         PASS  
ceiling_height        synthetic_no_ceiling              lidar  ceiling unmeasured in 1 room(s) that have ceiling ground truth                                                                                                                  <= 1.5 cm                                                 SKIP  
opening_widths        synthetic_no_ceiling              lidar  2/2 (100%); 0 missed, 0 phantom, worst 1.0 cm                                                                                                                                   <= 2 cm on >= 85%, detection scored                       PASS  
footprint             synthetic_no_ceiling              lidar  10.08 m2 vs 10.08 m2 (0.0%)                                                                                                                                                     within +-5%                                               PASS  
interval_coverage     synthetic_no_ceiling              lidar  5/5 covered (100%), mean half-width 14.0 cm                                                                                                                                     >= 90% of 90% intervals                                   PASS  
room_overlap          synthetic_no_ceiling              lidar  single room                                                                                                                                                                     no overlap                                                SKIP  
adjacency             synthetic_no_ceiling              lidar  no adjacency ground truth                                                                                                                                                       all edges correct                                         SKIP  
drift_accountability  synthetic_no_ceiling              lidar  pose graph built; no loop closure passed ICP verification; 0 closures, residual 0.0000 -> 0.0000, max correction 0.0 cm                                                         a stated method with an ablation; poses used as-is fails  PASS  
wall_lengths          synthetic_room                    lidar  4/4 within tolerance (100%), worst 0.6 cm                                                                                                                                       <= 2 cm on >= 85%                                         PASS  
ceiling_height        synthetic_room                    lidar  worst 0.1 cm (box) over 1 room(s)                                                                                                                                               <= 1.5 cm every room                                      PASS  
opening_widths        synthetic_room                    lidar  2/2 (100%); 0 missed, 0 phantom, worst 1.0 cm                                                                                                                                   <= 2 cm on >= 85%, detection scored                       PASS  
footprint             synthetic_room                    lidar  10.08 m2 vs 10.08 m2 (0.0%)                                                                                                                                                     within +-5%                                               PASS  
interval_coverage     synthetic_room                    lidar  6/6 covered (100%), mean half-width 11.9 cm                                                                                                                                     >= 90% of 90% intervals                                   PASS  
room_overlap          synthetic_room                    lidar  single room                                                                                                                                                                     no overlap                                                SKIP  
adjacency             synthetic_room                    lidar  no adjacency ground truth                                                                                                                                                       all edges correct                                         SKIP  
drift_accountability  synthetic_room                    lidar  pose graph built; no loop closure passed ICP verification; 0 closures, residual 0.0000 -> 0.0000, max correction 0.0 cm                                                         a stated method with an ablation; poses used as-is fails  PASS  
repeatability         multiroom_home vs multiroom_long  lidar  0/27 walls agree (0%), worst 267.3 cm; ceiling spread 13.1 cm                                                                                                                   1 cm or 0.5% per wall; ceiling spread <= 1 cm             FAIL  
repeatability         bedroom_solo vs multiroom_long    lidar  1/6 walls agree (17%), worst 123.7 cm; ceiling spread 0.0 cm                                                                                                                    1 cm or 0.5% per wall; ceiling spread <= 1 cm             FAIL  
--------------------  --------------------------------  -----  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------------------------------------------------------  ------
26 pass, 18 fail, 38 not evaluated

A gate is SKIP only when the ground truth needed to judge it does not exist. It is
never reported as passed on that basis, and it costs its marks either way.
